,pres_0,pres_1,time
0,825,818,1629231528.4452257
1,822,820,1629231528.45269
2,821,820,1629231528.461615
3,822,820,1629231528.469307
4,821,820,1629231528.4819353
5,823,820,1629231528.4900455
6,822,820,1629231528.4983606
7,822,820,1629231528.5107977
8,822,820,1629231528.518986
9,823,828,1629231528.5271227
10,823,821,1629231528.5353
11,824,820,1629231528.5471902
12,840,820,1629231528.5553882
13,864,821,1629231528.5628746
14,915,820,1629231528.576275
15,915,821,1629231528.5844505
16,918,842,1629231528.5931435
17,921,819,1629231528.6009173
18,923,821,1629231528.612967
19,925,820,1629231528.6213346
20,931,821,1629231528.6294968
21,932,820,1629231528.641387
22,936,821,1629231528.6499627
23,938,820,1629231528.6571434
24,938,820,1629231528.6663923
25,940,820,1629231528.6784344
26,939,820,1629231528.6869462
27,938,819,1629231528.6950717
28,941,820,1629231528.7033517
29,941,819,1629231528.7153904
30,941,819,1629231528.7234256
31,941,820,1629231528.7318304
32,941,819,1629231528.7432225
33,941,820,1629231528.7520616
34,941,817,1629231528.7606208
35,942,821,1629231528.7684352
36,942,820,1629231528.780668
37,942,819,1629231528.788871
38,943,819,1629231528.79628
39,943,813,1629231528.8097584
40,943,818,1629231528.8178272
41,945,820,1629231528.8261237
42,945,824,1629231528.8342888
43,943,826,1629231528.8462236
44,946,826,1629231528.8546495
45,946,826,1629231528.8623164
46,947,830,1629231528.875093
47,948,833,1629231528.8834162
48,947,835,1629231528.8914828
49,946,835,1629231528.8998847
50,947,835,1629231528.9121513
51,948,839,1629231528.9203427
52,947,841,1629231528.9285839
53,948,845,1629231528.9406638
54,941,848,1629231528.9489017
55,948,863,1629231528.9567757
56,948,867,1629231528.965285
57,948,880,1629231528.9776983
58,950,884,1629231528.984995
59,949,887,1629231528.994031
60,949,889,1629231529.0061233
61,950,889,1629231529.0142064
62,949,890,1629231529.022498
63,950,891,1629231529.0306718
64,950,890,1629231529.0432708
65,950,890,1629231529.051383
66,951,890,1629231529.0595977
67,949,891,1629231529.07137
68,950,891,1629231529.079328
69,950,892,1629231529.0879705
70,950,891,1629231529.0960073
71,950,891,1629231529.1086707
72,950,893,1629231529.1167219
73,950,891,1629231529.1249316
74,949,892,1629231529.1374247
75,950,892,1629231529.1456282
76,950,892,1629231529.1538665
77,950,892,1629231529.1620064
78,950,892,1629231529.173955
79,950,892,1629231529.182397
80,950,893,1629231529.190101
81,947,892,1629231529.2029457
82,950,898,1629231529.2111595
83,950,888,1629231529.2184532
84,951,893,1629231529.2275321
85,950,893,1629231529.2394397
86,950,893,1629231529.2477167
87,950,893,1629231529.2558928
88,950,893,1629231529.268502
89,951,893,1629231529.2766395
90,949,892,1629231529.2849026
91,950,893,1629231529.2930672
92,951,893,1629231529.304696
93,951,893,1629231529.3127735
94,950,893,1629231529.321303
95,950,893,1629231529.3339405
96,950,894,1629231529.3421612
97,950,893,1629231529.350401
98,951,907,1629231529.3580856
99,950,893,1629231529.3709378
100,951,894,1629231529.3789225
101,950,894,1629231529.3872745
102,951,893,1629231529.3994954
103,951,894,1629231529.4066174
104,951,895,1629231529.415589
105,952,894,1629231529.423569
106,950,894,1629231529.4364202
107,951,893,1629231529.4446204
108,951,893,1629231529.4520729
109,951,893,1629231529.46498
110,951,894,1629231529.4728258
111,949,894,1629231529.481206
112,951,894,1629231529.4894462
113,952,894,1629231529.5019107
114,950,894,1629231529.510144
115,950,894,1629231529.517861
116,951,895,1629231529.5295687
117,951,894,1629231529.5379765
118,951,895,1629231529.5462344
119,951,904,1629231529.5547004
120,951,895,1629231529.5674565
121,950,894,1629231529.5751133
122,953,894,1629231529.5839107
123,951,894,1629231529.5961804
124,951,894,1629231529.6043284
125,951,895,1629231529.612493
126,951,896,1629231529.6207263
127,951,895,1629231529.632978
128,951,895,1629231529.6410868
129,950,895,1629231529.6492624
130,951,895,1629231529.6617343
131,951,895,1629231529.6692834
132,951,895,1629231529.6781049
133,951,895,1629231529.6854239
134,951,895,1629231529.6983705
135,951,895,1629231529.7064013
136,951,896,1629231529.7139611
137,951,895,1629231529.727194
138,951,895,1629231529.7353969
139,951,899,1629231529.7436376
140,951,895,1629231529.751284
141,951,895,1629231529.7633874
142,951,895,1629231529.7713614
143,951,895,1629231529.7804065
144,951,895,1629231529.7926722
145,951,895,1629231529.8009408
146,953,902,1629231529.809228
