,pres_0,pres_1,time
0,47,933,1629216121.2110653
1,947,936,1629216121.2110653
2,947,933,1629216121.2110653
3,947,934,1629216121.2110653
4,956,936,1629216121.2110653
5,947,934,1629216121.2110653
6,947,933,1629216121.2110653
7,947,933,1629216121.2110653
8,953,933,1629216121.2110653
9,948,934,1629216121.2110653
10,9948,934,1629216122.7756243
11,948,933,1629216122.7821276
12,948,934,1629216122.797752
13,948,939,1629216122.797752
14,949,934,1629216122.814486
15,948,934,1629216122.8301167
16,949,934,1629216122.8301167
17,949,933,1629216122.8461747
18,948,935,1629216122.8461747
19,943,934,1629216122.8617136
20,949,935,1629216122.8617136
21,937,933,1629216122.88266
22,949,932,1629216122.88266
23,949,933,1629216122.898657
24,948,934,1629216122.898657
25,948,932,1629216122.9142225
26,948,933,1629216122.9298177
27,949,932,1629216122.9298177
28,949,931,1629216122.9451745
29,947,931,1629216122.9451745
30,954,930,1629216122.960789
31,948,928,1629216122.976417
32,948,925,1629216122.982948
33,948,923,1629216122.982948
34,949,921,1629216122.9988606
35,948,918,1629216123.0142078
36,947,910,1629216123.0142078
37,948,906,1629216123.0298164
38,948,899,1629216123.0298164
39,948,893,1629216123.0454385
40,948,878,1629216123.061059
41,948,859,1629216123.061059
42,948,835,1629216123.083188
43,948,811,1629216123.083188
44,948,798,1629216123.0988142
45,948,794,1629216123.0988142
46,948,793,1629216123.1144347
47,947,785,1629216123.1144347
48,947,783,1629216123.130056
49,945,779,1629216123.1456773
50,948,775,1629216123.1456773
51,946,778,1629216123.1613238
52,941,781,1629216123.1613238
53,946,778,1629216123.183446
54,946,782,1629216123.183446
55,946,780,1629216123.1991124
56,945,782,1629216123.214886
57,945,783,1629216123.214886
58,945,783,1629216123.2303665
59,944,780,1629216123.2303665
60,943,783,1629216123.2462173
61,942,778,1629216123.2462173
62,941,782,1629216123.2618418
63,940,784,1629216123.2786314
64,939,784,1629216123.2836373
65,937,787,1629216123.2836373
66,937,785,1629216123.2995472
67,934,785,1629216123.3148851
68,933,784,1629216123.3198924
69,930,784,1629216123.3198924
70,939,784,1629216123.335518
71,924,784,1629216123.3511398
72,915,786,1629216123.3511398
73,911,783,1629216123.3667603
74,904,779,1629216123.3823917
75,898,783,1629216123.3839052
76,888,781,1629216123.3839052
77,879,778,1629216123.3995304
78,855,781,1629216123.4151583
79,842,782,1629216123.4151583
80,829,782,1629216123.4299507
81,806,783,1629216123.4458575
82,759,782,1629216123.4458575
83,698,778,1629216123.4614544
84,623,783,1629216123.4614544
85,528,782,1629216123.4838235
86,487,782,1629216123.4838235
87,361,780,1629216123.499448
88,273,783,1629216123.499448
89,365,783,1629216123.5150726
90,369,782,1629216123.5150726
91,288,782,1629216123.53069
92,279,782,1629216123.5463114
93,267,782,1629216123.5463114
94,291,778,1629216123.5619328
95,290,778,1629216123.5778124
96,302,780,1629216123.583822
97,367,781,1629216123.583822
98,372,781,1629216123.5997481
99,384,782,1629216123.6153529
100,365,784,1629216123.6153529
101,359,781,1629216123.6309276
102,306,782,1629216123.6309276
103,384,780,1629216123.6466413
104,415,781,1629216123.6466413
105,421,779,1629216123.6619344
106,426,781,1629216123.677579
107,380,782,1629216123.6841125
108,389,782,1629216123.6841125
109,383,783,1629216123.6997998
110,380,783,1629216123.7154026
111,359,783,1629216123.7154026
112,378,780,1629216123.7309847
113,385,783,1629216123.7466455
114,387,786,1629216123.7466455
115,395,785,1629216123.7622674
116,390,786,1629216123.7622674
117,361,786,1629216123.7778752
118,337,785,1629216123.7843819
119,367,785,1629216123.80001
120,361,785,1629216123.80001
121,361,785,1629216123.8156626
122,372,786,1629216123.8156626
123,362,784,1629216123.8312836
124,371,785,1629216123.8469045
125,366,783,1629216123.8469045
126,348,780,1629216123.86253
127,354,782,1629216123.878142
128,261,784,1629216123.8846748
129,347,783,1629216123.8846748
130,317,784,1629216123.9003274
131,327,783,1629216123.9003274
132,317,783,1629216123.915946
133,331,786,1629216123.9315422
134,345,784,1629216123.9315422
135,353,785,1629216123.94719
136,340,784,1629216123.94719
137,334,784,1629216123.96281
138,340,784,1629216123.9784317
139,347,785,1629216123.9869995
140,344,784,1629216123.997163
141,350,784,1629216124.0051906
142,354,785,1629216124.0174751
143,370,785,1629216124.0256386
144,369,784,1629216124.035915
145,382,794,1629216124.035915
146,373,785,1629216124.0515707
147,380,786,1629216124.0515707
148,376,785,1629216124.067161
149,367,782,1629216124.0830898
150,359,788,1629216124.0830898
151,394,782,1629216124.0984297
152,381,783,1629216124.0984297
153,352,783,1629216124.1144228
154,381,784,1629216124.132155
155,385,783,1629216124.1369538
156,385,783,1629216124.1369538
157,375,785,1629216124.1525755
158,391,785,1629216124.168224
159,385,783,1629216124.168224
160,383,785,1629216124.183819
161,382,785,1629216124.183819
162,368,785,1629216124.1995773
163,379,785,1629216124.1995773
164,384,785,1629216124.2153265
165,376,786,1629216124.2307062
166,359,787,1629216124.2359986
167,366,786,1629216124.2359986
168,328,786,1629216124.2516308
169,321,786,1629216124.2672455
170,323,786,1629216124.2672455
171,317,786,1629216124.2833362
172,317,786,1629216124.29852
173,314,787,1629216124.29852
174,342,787,1629216124.3141425
175,332,786,1629216124.320653
176,333,783,1629216124.336592
177,328,787,1629216124.3376923
178,336,786,1629216124.3533137
179,322,786,1629216124.3533137
180,327,786,1629216124.3689704
181,342,784,1629216124.3689704
182,344,786,1629216124.3845625
183,352,786,1629216124.4002466
184,350,786,1629216124.4002466
185,333,786,1629216124.4160595
186,336,786,1629216124.4275765
187,335,785,1629216124.4365876
188,337,786,1629216124.4365876
189,345,786,1629216124.4522216
190,350,786,1629216124.4678864
191,364,786,1629216124.4678864
192,356,786,1629216124.4834664
193,349,766,1629216124.4834664
194,350,785,1629216124.4990885
195,346,786,1629216124.4990885
196,354,787,1629216124.5147095
197,346,787,1629216124.530335
198,350,786,1629216124.536851
199,342,787,1629216124.536851
200,342,799,1629216124.5524888
201,343,786,1629216124.5681226
202,336,787,1629216124.5681226
203,328,787,1629216124.5837224
204,338,788,1629216124.5837224
205,323,789,1629216124.599343
206,328,789,1629216124.6149971
207,327,788,1629216124.6149971
208,325,789,1629216124.6306248
209,328,789,1629216124.6371708
210,342,788,1629216124.6528344
211,320,788,1629216124.6528344
212,331,787,1629216124.6684237
213,337,789,1629216124.6684237
214,328,787,1629216124.6840498
215,328,789,1629216124.6996653
216,329,788,1629216124.6996653
217,326,787,1629216124.7152865
218,334,797,1629216124.7152865
219,326,788,1629216124.7374115
220,323,788,1629216124.7374115
221,330,788,1629216124.7530353
222,325,787,1629216124.7530353
223,318,786,1629216124.768657
224,283,785,1629216124.784281
225,321,786,1629216124.784281
226,318,786,1629216124.7999132
227,320,786,1629216124.7999132
228,310,787,1629216124.815795
229,316,787,1629216124.8314288
230,315,784,1629216124.8378224
231,321,750,1629216124.8534687
232,319,787,1629216124.8534687
233,324,787,1629216124.8694336
234,319,798,1629216124.8694336
235,324,787,1629216124.8848279
236,332,785,1629216124.8848279
237,329,786,1629216124.9003787
238,330,786,1629216124.9159343
239,336,785,1629216124.9159343
240,345,779,1629216124.9315553
241,330,769,1629216124.938066
242,343,778,1629216124.953703
243,333,850,1629216124.953703
244,328,887,1629216124.9693227
245,289,870,1629216124.9693227
246,359,886,1629216124.9849446
247,286,899,1629216125.0005648
248,270,905,1629216125.0005648
249,391,907,1629216125.0165255
250,552,909,1629216125.0165255
251,633,913,1629216125.032179
252,750,916,1629216125.0381892
253,808,918,1629216125.0538592
254,858,921,1629216125.0538592
255,893,922,1629216125.069679
256,907,923,1629216125.0850565
257,906,924,1629216125.0850565
258,906,927,1629216125.100677
259,913,926,1629216125.100677
260,924,926,1629216125.116298
261,929,928,1629216125.116298
262,934,927,1629216125.1384354
263,937,928,1629216125.1384354
264,937,928,1629216125.154059
265,942,938,1629216125.154059
266,960,929,1629216125.1696806
267,940,929,1629216125.1855638
268,942,928,1629216125.1855638
269,944,929,1629216125.2009244
270,945,929,1629216125.216814
271,944,929,1629216125.216814
272,943,929,1629216125.2324994
273,942,930,1629216125.2389085
274,944,929,1629216125.2548003
275,943,930,1629216125.2548003
276,943,930,1629216125.270398
277,942,930,1629216125.270398
278,941,928,1629216125.2912831
279,941,929,1629216125.2992487
280,940,933,1629216125.3098037
281,943,931,1629216125.3098037
282,942,932,1629216125.3249319
283,945,930,1629216125.3249319
284,946,930,1629216125.3389723
285,945,931,1629216125.357018
286,946,930,1629216125.357018
287,946,930,1629216125.372906
288,945,929,1629216125.372906
289,948,931,1629216125.3885221
290,947,932,1629216125.3885221
291,948,932,1629216125.4042387
292,949,930,1629216125.4198906
293,948,931,1629216125.4198906
294,948,931,1629216125.439497
295,948,932,1629216125.439497
296,948,931,1629216125.4554687
297,949,934,1629216125.4554687
298,948,930,1629216125.4711835
299,955,931,1629216125.486364
300,949,933,1629216125.486364
301,947,931,1629216125.5023263
302,948,931,1629216125.5023263
303,948,930,1629216125.5176122
304,948,931,1629216125.5332632
305,950,928,1629216125.539501
306,955,932,1629216125.539501
307,948,929,1629216125.555204
308,948,932,1629216125.5710347
309,949,932,1629216125.5710347
310,949,932,1629216125.5863688
311,950,932,1629216125.5863688
312,948,932,1629216125.602335
313,948,931,1629216125.6176107
314,948,932,1629216125.6176107
315,949,945,1629216125.6398387
316,947,926,1629216125.6398387
317,948,932,1629216125.6558003
318,948,932,1629216125.6558003
319,934,933,1629216125.6713781
320,949,934,1629216125.6713781
321,949,934,1629216125.6870747
322,950,932,1629216125.6870747
323,949,930,1629216125.7026677
324,949,932,1629216125.7179496
325,949,933,1629216125.7179496
326,948,932,1629216125.740313
327,949,929,1629216125.740313
328,949,944,1629216125.7563226
329,946,933,1629216125.7563226
330,947,933,1629216125.7717478
331,949,929,1629216125.7872677
332,949,933,1629216125.7872677
333,949,935,1629216125.8032084
334,949,933,1629216125.8032084
335,949,933,1629216125.818763
336,950,918,1629216125.818763
337,949,932,1629216125.840577
338,948,932,1629216125.840577
339,949,933,1629216125.856202
340,949,932,1629216125.8722858
341,949,933,1629216125.8722858
342,949,931,1629216125.8878434
343,949,935,1629216125.8878434
344,950,932,1629216125.9034474
345,949,933,1629216125.9034474
346,950,948,1629216125.9190283
347,950,933,1629216125.9343219
348,949,931,1629216125.9412322
349,949,933,1629216125.9412322
350,949,933,1629216125.9572322
351,949,933,1629216125.9727943
352,949,937,1629216125.9727943
353,949,932,1629216125.9880993
354,949,937,1629216126.004179
355,949,934,1629216126.004179
356,951,928,1629216126.0197215
357,950,933,1629216126.0197215
358,949,933,1629216126.0349665
359,950,932,1629216126.0414717
360,950,934,1629216126.057612
361,949,933,1629216126.057612
362,948,933,1629216126.0731745
363,949,933,1629216126.0731745
364,948,933,1629216126.0887349
365,950,933,1629216126.1040037
366,949,933,1629216126.1040037
367,949,933,1629216126.1199107
368,949,934,1629216126.1199107
369,950,934,1629216126.1420221
370,947,933,1629216126.1420221
371,950,933,1629216126.1591573
372,949,932,1629216126.1645155
373,950,933,1629216126.1806545
374,950,933,1629216126.1817403
375,950,933,1629216126.1977727
376,950,933,1629216126.1977727
377,950,922,1629216126.2132244
378,950,935,1629216126.2132244
379,949,934,1629216126.22901
380,949,933,1629216126.2420402
381,949,934,1629216126.2420402
382,949,933,1629216126.2577114
