,pres_0,pres_1,time
0,896,907,1629233297.237805
1,876,906,1629233297.249458
2,896,906,1629233297.25719
3,896,907,1629233297.265169
4,896,907,1629233297.2787068
5,896,907,1629233297.286529
6,896,907,1629233297.295108
7,896,906,1629233297.3026319
8,896,907,1629233297.3155427
9,899,907,1629233297.322553
10,896,907,1629233297.3319838
11,896,907,1629233297.3442452
12,896,908,1629233297.3523045
13,895,907,1629233297.3605704
14,896,907,1629233297.3680043
15,896,908,1629233297.3800082
16,900,907,1629233297.3893583
17,872,907,1629233297.3973167
18,896,908,1629233297.4096692
19,896,903,1629233297.4175305
20,896,907,1629233297.426134
21,896,907,1629233297.434051
22,896,907,1629233297.4466844
23,896,908,1629233297.4549332
24,893,908,1629233297.4631078
25,897,907,1629233297.4742494
26,896,907,1629233297.4827785
27,896,907,1629233297.4912865
28,896,908,1629233297.4994547
29,896,908,1629233297.5121758
30,896,908,1629233297.5197802
31,896,907,1629233297.5285397
32,908,908,1629233297.5409548
33,892,907,1629233297.549084
34,896,908,1629233297.557271
35,897,908,1629233297.565463
36,897,908,1629233297.5776727
37,895,908,1629233297.5847557
38,896,907,1629233297.594
39,896,908,1629233297.6064668
40,895,905,1629233297.6145175
41,905,904,1629233297.6228123
42,896,909,1629233297.6298196
43,897,908,1629233297.6432185
44,896,908,1629233297.651057
45,896,907,1629233297.6597476
46,896,908,1629233297.6719708
47,894,908,1629233297.680131
48,898,907,1629233297.6883209
49,901,908,1629233297.6963263
50,894,907,1629233297.7077768
51,896,908,1629233297.715754
52,897,908,1629233297.7247317
53,897,908,1629233297.737334
54,896,909,1629233297.7450469
55,896,909,1629233297.7534144
56,897,905,1629233297.761907
57,894,912,1629233297.7738192
58,897,908,1629233297.78238
59,896,907,1629233297.7899745
60,896,908,1629233297.8020382
61,897,908,1629233297.8112552
62,897,908,1629233297.819274
63,889,908,1629233297.8274255
64,896,908,1629233297.8397884
65,896,908,1629233297.8477464
66,896,908,1629233297.8560212
67,896,908,1629233297.8677697
68,897,909,1629233297.8756876
69,896,908,1629233297.88421
70,897,909,1629233297.8928921
71,898,908,1629233297.9049573
72,897,908,1629233297.9132493
73,897,908,1629233297.921463
74,895,909,1629233297.9331117
75,898,909,1629233297.9411957
76,897,909,1629233297.9495618
77,897,909,1629233297.9583063
78,897,908,1629233297.9709265
79,897,908,1629233297.9778914
80,896,908,1629233297.9870093
81,890,908,1629233297.9987473
82,898,909,1629233298.007786
83,900,908,1629233298.0161436
84,897,908,1629233298.0241761
85,897,908,1629233298.0353796
86,897,908,1629233298.0446365
87,897,910,1629233298.0523617
88,896,908,1629233298.0646844
89,893,909,1629233298.073411
90,896,914,1629233298.0815234
91,897,909,1629233298.0897079
