,pres_0,pres_1,time
0,6836,440,1629234547.6856985
1,835,439,1629234547.6939044
2,834,438,1629234547.7020988
3,835,438,1629234547.7142906
4,834,448,1629234547.7221913
5,835,437,1629234547.7304404
6,840,437,1629234547.7423596
7,834,437,1629234547.7512352
8,835,436,1629234547.7593863
9,835,436,1629234547.7675893
10,835,436,1629234547.779039
11,835,436,1629234547.7873666
12,837,437,1629234547.7957482
13,835,439,1629234547.8085217
14,835,438,1629234547.8167458
15,835,438,1629234547.82486
16,835,438,1629234547.8331237
17,835,438,1629234547.8454351
18,835,437,1629234547.85361
19,835,437,1629234547.861827
20,832,439,1629234547.8740406
21,836,434,1629234547.881184
22,836,437,1629234547.89019
23,836,437,1629234547.898222
24,835,437,1629234547.9110734
25,836,436,1629234547.9191825
26,839,438,1629234547.9274535
27,837,444,1629234547.9394937
28,836,427,1629234547.9474657
29,838,436,1629234547.9559565
30,838,436,1629234547.96374
31,837,437,1629234547.9757066
32,837,435,1629234547.9838445
33,836,437,1629234547.9884195
34,838,439,1629234548.0040524
35,837,427,1629234548.0040524
36,837,435,1629234548.0200765
37,837,435,1629234548.0200765
38,837,447,1629234548.035645
39,837,435,1629234548.035645
40,837,435,1629234548.0513635
41,836,435,1629234548.0665927
42,837,435,1629234548.0665927
43,836,434,1629234548.0819645
44,837,435,1629234548.0819645
45,837,435,1629234548.0979125
46,837,436,1629234548.1132386
47,837,435,1629234548.1132386
48,837,436,1629234548.1290007
49,837,434,1629234548.1444874
50,836,436,1629234548.1444874
51,837,434,1629234548.1605823
52,837,433,1629234548.1605823
53,837,434,1629234548.1761322
54,837,433,1629234548.1824906
55,838,429,1629234548.1985257
56,838,433,1629234548.1985257
57,838,433,1629234548.2137651
58,834,433,1629234548.2137651
59,838,433,1629234548.2293882
60,836,427,1629234548.2454214
61,836,433,1629234548.2454214
62,836,445,1629234548.2609618
63,837,433,1629234548.2609618
64,837,433,1629234548.2830622
65,837,433,1629234548.2830622
66,837,433,1629234548.2991557
67,837,433,1629234548.2991557
68,838,455,1629234548.3145964
69,837,439,1629234548.3300939
70,837,433,1629234548.3300939
71,839,433,1629234548.3471758
72,837,433,1629234548.3471758
73,836,433,1629234548.3628328
74,837,431,1629234548.3628328
75,838,434,1629234548.3832386
76,837,446,1629234548.3832386
77,839,432,1629234548.3988636
78,856,433,1629234548.4146483
79,837,431,1629234548.4146483
80,838,432,1629234548.430183
81,837,433,1629234548.430183
82,837,432,1629234548.445728
83,837,432,1629234548.4617212
84,838,431,1629234548.4617212
85,837,432,1629234548.477319
86,838,441,1629234548.4837413
87,838,433,1629234548.4998097
88,837,433,1629234548.4998097
89,838,433,1629234548.51538
90,838,435,1629234548.51538
91,838,432,1629234548.530609
92,837,434,1629234548.530609
93,838,432,1629234548.546232
94,838,433,1629234548.562252
95,831,433,1629234548.562252
96,838,443,1629234548.5779195
97,838,432,1629234548.5842555
98,838,433,1629234548.600216
99,834,434,1629234548.600216
100,838,431,1629234548.6155353
101,838,433,1629234548.6314862
102,837,430,1629234548.6314862
103,844,432,1629234548.646795
104,838,433,1629234548.646795
105,837,432,1629234548.6623666
106,838,433,1629234548.6623666
107,838,433,1629234548.6843235
108,838,432,1629234548.6843235
109,838,434,1629234548.7004077
110,838,455,1629234548.7004077
111,837,424,1629234548.7159643
112,838,429,1629234548.7315304
113,838,438,1629234548.7315304
114,842,434,1629234548.7469778
115,839,439,1629234548.762436
116,845,437,1629234548.762436
117,838,435,1629234548.7785132
118,838,448,1629234548.7848468
119,838,454,1629234548.7848468
120,838,435,1629234548.800865
121,839,442,1629234548.8161318
122,839,435,1629234548.8161318
123,839,435,1629234548.832142
124,837,436,1629234548.832142
125,839,434,1629234548.847651
126,840,437,1629234548.8629613
127,839,466,1629234548.8629613
128,838,436,1629234548.878899
129,838,436,1629234548.8853898
130,839,436,1629234548.901473
131,840,436,1629234548.901473
132,843,443,1629234548.9170601
133,839,430,1629234548.9170601
134,838,437,1629234548.9326441
135,845,436,1629234548.9326441
136,837,435,1629234548.948193
137,838,432,1629234548.9635465
138,839,435,1629234548.9635465
139,838,435,1629234548.98602
140,840,433,1629234548.98602
141,839,432,1629234549.0019767
142,857,435,1629234549.0019767
143,839,437,1629234549.0172668
144,839,437,1629234549.033214
145,839,433,1629234549.033214
146,839,434,1629234549.0485094
147,839,435,1629234549.0485094
148,839,435,1629234549.0641327
149,840,434,1629234549.0641327
150,838,435,1629234549.0868864
151,841,436,1629234549.0868864
152,834,436,1629234549.1025116
153,839,429,1629234549.1025116
154,839,437,1629234549.1181343
155,839,433,1629234549.133755
156,839,428,1629234549.133755
157,838,429,1629234549.1493766
158,840,437,1629234549.1493766
159,842,441,1629234549.164997
160,838,436,1629234549.164997
161,840,437,1629234549.1871293
162,839,437,1629234549.1871293
163,839,437,1629234549.2027602
164,842,438,1629234549.218388
165,839,437,1629234549.218388
166,839,438,1629234549.2340004
167,837,437,1629234549.2340004
168,851,436,1629234549.249622
169,839,438,1629234549.265493
170,839,438,1629234549.265493
171,839,437,1629234549.2874138
172,839,437,1629234549.2874138
173,841,437,1629234549.3030763
174,840,409,1629234549.3030763
175,840,438,1629234549.31868
176,839,440,1629234549.31868
177,839,437,1629234549.3343277
178,839,436,1629234549.3502495
179,839,437,1629234549.3502495
180,839,439,1629234549.365856
181,838,437,1629234549.365856
182,838,441,1629234549.387331
183,839,438,1629234549.387331
184,842,438,1629234549.4033036
185,836,438,1629234549.4033036
186,840,437,1629234549.418598
187,840,438,1629234549.4346938
188,840,437,1629234549.4346938
189,840,408,1629234549.4503174
190,839,437,1629234549.4503174
191,841,437,1629234549.4658582
192,838,434,1629234549.4813983
193,838,436,1629234549.4874132
194,840,437,1629234549.4874132
195,839,437,1629234549.5035005
196,840,433,1629234549.5190938
197,835,437,1629234549.5190938
198,840,437,1629234549.53465
199,839,437,1629234549.53465
200,843,435,1629234549.549922
201,840,404,1629234549.5656416
202,840,438,1629234549.5656416
203,840,437,1629234549.5815067
204,837,437,1629234549.5875177
205,840,437,1629234549.5875177
206,841,438,1629234549.6031437
207,839,437,1629234549.6187687
208,840,437,1629234549.6187687
209,835,438,1629234549.634837
210,839,437,1629234549.65043
211,839,435,1629234549.65043
212,839,437,1629234549.666031
213,840,438,1629234549.666031
214,840,455,1629234549.6875775
215,840,437,1629234549.6875775
216,839,437,1629234549.7036428
217,847,437,1629234549.7036428
218,840,437,1629234549.7191675
219,840,438,1629234549.7191675
220,840,438,1629234549.7457628
221,839,438,1629234549.7530556
222,846,435,1629234549.7610366
223,839,418,1629234549.770248
224,840,439,1629234549.7826853
225,841,445,1629234549.790508
226,840,414,1629234549.7990913
227,840,437,1629234549.8114145
228,840,438,1629234549.8186407
229,840,433,1629234549.8270957
230,819,438,1629234549.8360484
231,840,436,1629234549.8482022
232,840,438,1629234549.8563795
233,840,437,1629234549.8645802
234,840,436,1629234549.8769286
235,840,438,1629234549.8851922
236,840,437,1629234549.8933327
237,840,437,1629234549.9013028
238,840,439,1629234549.913566
239,840,435,1629234549.9213252
240,838,432,1629234549.9299
241,839,439,1629234549.942537
242,839,438,1629234549.9507396
243,840,438,1629234549.9587877
244,840,438,1629234549.9670613
245,840,439,1629234549.9790184
246,839,430,1629234549.9874017
247,840,438,1629234549.9957073
248,835,441,1629234550.0079777
249,839,436,1629234550.0151408
250,847,438,1629234550.023757
251,834,438,1629234550.0323868
252,840,437,1629234550.0446723
253,840,438,1629234550.0530322
254,840,439,1629234550.0613225
255,840,436,1629234550.0734675
256,844,442,1629234550.081467
257,846,444,1629234550.089848
258,840,437,1629234550.0977526
259,840,438,1629234550.110418
260,840,437,1629234550.1184447
261,840,441,1629234550.126693
262,841,438,1629234550.1387868
263,841,435,1629234550.1466928
264,841,437,1629234550.1546936
265,840,439,1629234550.1634064
266,854,434,1629234550.1760082
267,841,438,1629234550.1841605
268,841,437,1629234550.1919913
269,841,438,1629234550.2039297
270,840,437,1629234550.212342
271,840,438,1629234550.2206354
272,840,439,1629234550.2290533
273,840,437,1629234550.2415004
274,848,438,1629234550.2485962
275,841,438,1629234550.257303
276,840,434,1629234550.269424
277,841,437,1629234550.278471
278,841,437,1629234550.2865489
279,839,437,1629234550.2947886
280,841,436,1629234550.306922
281,840,420,1629234550.314774
282,840,439,1629234550.3233364
283,841,437,1629234550.335357
284,842,437,1629234550.3437302
285,841,437,1629234550.3519735
286,840,437,1629234550.3595424
287,840,438,1629234550.3628078
288,844,436,1629234550.378824
289,840,439,1629234550.378824
290,841,457,1629234550.3901796
291,841,437,1629234550.409126
292,841,437,1629234550.4171047
293,840,437,1629234550.420956
294,840,438,1629234550.437002
295,841,437,1629234550.437002
296,840,435,1629234550.4525807
297,841,436,1629234550.4525807
298,841,424,1629234550.4681427
299,841,437,1629234550.4681427
300,841,415,1629234550.4908586
301,841,421,1629234550.4908586
302,841,421,1629234550.5069203
303,842,417,1629234550.5069203
304,841,391,1629234550.5224504
305,841,400,1629234550.5377295
306,836,416,1629234550.5377295
307,841,409,1629234550.5536923
308,841,389,1629234550.5693896
309,841,398,1629234550.5715532
310,841,394,1629234550.5715532
311,841,399,1629234550.5910938
312,841,398,1629234550.5910938
313,846,359,1629234550.6070614
314,841,324,1629234550.6070614
315,840,337,1629234550.6223936
316,841,328,1629234550.642453
317,841,315,1629234550.6510904
318,840,307,1629234550.6538417
319,841,308,1629234550.6698544
320,841,281,1629234550.6698544
321,843,276,1629234550.6854267
322,843,274,1629234550.6918516
323,842,269,1629234550.7079372
324,841,272,1629234550.7079372
325,841,275,1629234550.7234454
326,844,275,1629234550.7234454
327,842,282,1629234550.7387202
328,841,275,1629234550.7387202
329,841,252,1629234550.7543721
330,843,270,1629234550.7700062
331,842,264,1629234550.7700062
332,842,270,1629234550.7924821
333,843,267,1629234550.7924821
334,842,268,1629234550.808143
335,842,268,1629234550.808143
336,844,264,1629234550.8240373
337,841,261,1629234550.8393912
338,841,268,1629234550.8393912
339,842,268,1629234550.8551242
340,841,268,1629234550.8551242
341,841,265,1629234550.870655
342,840,263,1629234550.870655
343,840,266,1629234550.8927574
344,841,269,1629234550.8927574
345,841,263,1629234550.908629
346,841,261,1629234550.9245567
347,840,271,1629234550.9335313
348,840,275,1629234550.9416208
349,841,273,1629234550.9496062
350,840,271,1629234550.962274
351,840,272,1629234550.9704614
352,841,275,1629234550.9778585
353,840,277,1629234550.9898646
354,840,275,1629234550.9988678
355,840,272,1629234551.0070546
356,840,277,1629234551.0147848
357,840,278,1629234551.0271127
358,840,275,1629234551.0358984
359,840,277,1629234551.043859
360,841,275,1629234551.0557258
361,842,273,1629234551.0648155
362,838,275,1629234551.0726209
363,842,272,1629234551.0788748
364,839,275,1629234551.0929935
365,839,272,1629234551.1012528
366,838,274,1629234551.1041129
367,839,275,1629234551.1209197
368,838,267,1629234551.129264
369,837,273,1629234551.1376436
370,835,272,1629234551.145659
371,832,261,1629234551.1543293
372,830,268,1629234551.1543293
373,829,270,1629234551.1703787
374,827,266,1629234551.1872773
375,823,265,1629234551.1947217
376,818,262,1629234551.1947217
377,809,276,1629234551.210766
378,797,268,1629234551.210766
379,785,268,1629234551.2256618
380,775,267,1629234551.2256618
381,763,267,1629234551.2412877
382,729,269,1629234551.2572339
383,693,267,1629234551.2572339
384,635,264,1629234551.2725701
385,567,265,1629234551.288151
386,525,269,1629234551.2946877
387,893,277,1629234551.2946877
388,428,271,1629234551.3103132
389,423,273,1629234551.3263981
390,396,268,1629234551.3263981
391,364,264,1629234551.3416693
392,357,269,1629234551.3416693
393,358,272,1629234551.357404
394,349,273,1629234551.357404
395,350,275,1629234551.372798
396,356,274,1629234551.3884218
397,355,277,1629234551.3953567
398,353,276,1629234551.3953567
399,358,274,1629234551.4113855
400,364,276,1629234551.4267359
401,354,253,1629234551.4267359
402,364,277,1629234551.4422352
403,385,277,1629234551.4579096
404,366,278,1629234551.4579096
405,368,276,1629234551.4738543
406,365,274,1629234551.4738543
407,365,275,1629234551.4894123
408,378,278,1629234551.4954286
409,385,278,1629234551.511058
410,387,279,1629234551.511058
411,376,277,1629234551.5270324
412,376,276,1629234551.5270324
413,416,284,1629234551.5427027
414,381,275,1629234551.5579195
415,373,277,1629234551.5579195
416,367,276,1629234551.5754306
417,368,278,1629234551.5754306
418,375,272,1629234551.5954983
419,388,304,1629234551.5954983
420,381,273,1629234551.6115096
421,376,273,1629234551.6115096
422,373,274,1629234551.626747
423,375,268,1629234551.6423657
424,374,270,1629234551.6423657
425,371,279,1629234551.6583347
426,371,274,1629234551.6583347
427,358,270,1629234551.6739821
428,379,262,1629234551.6895473
429,368,271,1629234551.6955562
430,365,273,1629234551.7111864
431,367,271,1629234551.7111864
432,366,273,1629234551.7271323
433,362,273,1629234551.7271323
434,363,274,1629234551.7424266
435,366,279,1629234551.7424266
436,383,273,1629234551.7580502
437,362,287,1629234551.773839
438,360,272,1629234551.773839
439,364,271,1629234551.789622
440,366,272,1629234551.795671
441,365,272,1629234551.8113823
