,pres_0,pres_1,time
0,"777",811,1629221816.766527
1,778,811,1629221816.766527
2,777,811,1629221816.7820928
3,782,812,1629221816.7820928
4,777,811,1629221816.7976623
5,777,778,1629221816.8132546
6,776,810,1629221816.8132546
7,777,812,1629221816.8285804
8,777,811,1629221816.8285804
9,776,811,1629221816.8505378
10,777,812,1629221816.8505378
11,777,811,1629221816.8664484
12,777,811,1629221816.8664484
13,776,789,1629221816.8817852
14,777,811,1629221816.897813
15,777,811,1629221816.897813
16,777,811,1629221816.9133935
17,777,811,1629221816.9133935
18,777,811,1629221816.9289808
19,776,811,1629221816.9289808
20,776,811,1629221816.9507766
21,776,812,1629221816.9507766
22,776,811,1629221816.96679
23,776,802,1629221816.9820395
24,775,811,1629221816.9820395
25,776,811,1629221816.9977171
26,776,817,1629221816.9977171
27,777,811,1629221817.0133343
28,775,812,1629221817.0133343
29,776,842,1629221817.0289006
30,776,810,1629221817.044523
31,776,809,1629221817.0510395
32,777,811,1629221817.0510395
33,777,812,1629221817.0666764
34,777,811,1629221817.0822985
35,769,811,1629221817.0822985
36,780,811,1629221817.0979407
37,778,811,1629221817.1135318
38,777,811,1629221817.1135318
39,776,811,1629221817.1291537
40,776,811,1629221817.1291537
41,776,809,1629221817.1512809
42,776,811,1629221817.1512809
43,775,814,1629221817.1670167
44,775,809,1629221817.1670167
45,775,810,1629221817.1825304
46,775,810,1629221817.1825304
47,777,811,1629221817.1982238
48,776,811,1629221817.2137969
49,777,813,1629221817.2137969
50,775,811,1629221817.2324533
51,776,818,1629221817.2345033
52,776,811,1629221817.2516346
53,764,811,1629221817.2516346
54,779,800,1629221817.2672663
55,775,819,1629221817.2672663
56,775,811,1629221817.282883
57,765,811,1629221817.298502
58,775,811,1629221817.298502
59,773,812,1629221817.3141236
60,764,812,1629221817.3141236
61,797,811,1629221817.3297443
62,819,815,1629221817.3453715
63,814,810,1629221817.3518844
64,820,811,1629221817.3518844
65,835,811,1629221817.3675187
66,845,811,1629221817.383286
67,840,811,1629221817.383286
68,846,811,1629221817.3990216
69,845,805,1629221817.3990216
70,862,812,1629221817.4145763
71,851,811,1629221817.4300525
72,855,811,1629221817.4300525
73,865,812,1629221817.445977
74,869,811,1629221817.4522278
75,871,811,1629221817.4522278
76,870,811,1629221817.4761093
77,860,810,1629221817.4761093
78,861,812,1629221817.4917333
79,869,811,1629221817.507355
80,871,812,1629221817.507355
81,874,811,1629221817.5229757
82,874,811,1629221817.5229757
83,874,811,1629221817.5386014
84,874,811,1629221817.5521228
85,874,810,1629221817.5521228
86,874,809,1629221817.5678132
87,875,828,1629221817.5678132
88,877,815,1629221817.5834162
89,876,823,1629221817.5834162
90,875,823,1629221817.5990534
91,876,824,1629221817.6146588
92,874,826,1629221817.6146588
93,876,828,1629221817.630296
94,877,825,1629221817.6459224
95,876,829,1629221817.654684
96,878,830,1629221817.662877
97,877,839,1629221817.6751947
98,871,833,1629221817.6832364
99,877,835,1629221817.6832364
100,877,835,1629221817.7034285
101,877,832,1629221817.7054756
102,877,836,1629221817.7156277
103,879,836,1629221817.7258377
104,879,837,1629221817.7359848
105,878,838,1629221817.7461731
106,877,838,1629221817.7562783
107,884,829,1629221817.7668056
108,878,839,1629221817.7750654
109,877,839,1629221817.7854064
110,880,834,1629221817.7877688
111,879,839,1629221817.8064659
112,878,839,1629221817.8085613
113,880,840,1629221817.816666
114,878,841,1629221817.8294928
115,878,839,1629221817.8380072
116,879,840,1629221817.850224
117,878,838,1629221817.858465
118,883,841,1629221817.870964
119,880,843,1629221817.8794012
120,878,840,1629221817.8794012
121,878,840,1629221817.8894107
122,879,841,1629221817.9050353
123,879,840,1629221817.9050353
124,879,840,1629221817.9206574
125,879,841,1629221817.9362783
126,879,836,1629221817.9362783
127,880,845,1629221817.9519005
128,880,841,1629221817.9519005
129,879,822,1629221817.967522
130,880,841,1629221817.9831717
131,879,841,1629221817.9899497
132,879,841,1629221817.9899497
133,873,841,1629221818.0058465
134,881,841,1629221818.0058465
135,878,834,1629221818.021511
136,879,845,1629221818.037051
137,879,841,1629221818.037051
138,879,842,1629221818.0527055
139,879,841,1629221818.0680606
140,880,841,1629221818.0680606
141,880,843,1629221818.083718
142,877,838,1629221818.090223
143,883,842,1629221818.090223
144,880,841,1629221818.105859
145,880,843,1629221818.121477
146,879,842,1629221818.121477
147,880,842,1629221818.1370904
148,879,842,1629221818.1370904
149,880,842,1629221818.152712
150,882,843,1629221818.1683338
151,878,837,1629221818.1683338
152,883,839,1629221818.18396
153,881,842,1629221818.19051
154,880,842,1629221818.2061796
155,880,842,1629221818.2061796
156,880,842,1629221818.2217593
157,880,843,1629221818.2217593
158,880,841,1629221818.2373786
159,879,843,1629221818.2530313
160,884,865,1629221818.2530313
161,880,843,1629221818.2686555
162,881,842,1629221818.2686555
163,881,851,1629221818.290779
164,881,843,1629221818.290779
165,881,843,1629221818.3064048
166,880,842,1629221818.3064048
167,885,842,1629221818.3220572
168,881,843,1629221818.33908
169,881,843,1629221818.33908
170,881,842,1629221818.3547335
171,880,842,1629221818.3547335
172,880,843,1629221818.3703296
173,883,842,1629221818.3703296
