,pres_0,pres_1,time
0,531,879,1629218551.4671154
1,531,876,1629218551.4671154
2,530,876,1629218551.4877963
3,530,877,1629218551.4877963
4,530,876,1629218551.5034492
5,529,876,1629218551.5034492
6,529,876,1629218551.5190446
7,529,876,1629218551.5346663
8,531,872,1629218551.5346663
9,529,875,1629218551.5502884
10,530,877,1629218551.5502884
11,528,874,1629218551.567348
12,530,877,1629218551.5829728
13,530,877,1629218551.5879803
14,530,879,1629218551.5879803
15,529,877,1629218551.6036077
16,527,877,1629218551.6192555
17,528,877,1629218551.6192555
18,528,877,1629218551.6348498
19,529,878,1629218551.6348498
20,529,877,1629218551.6504717
21,529,877,1629218551.6660976
22,529,878,1629218551.6660976
23,528,877,1629218551.6817148
24,537,877,1629218551.6882305
25,534,877,1629218551.6882305
26,529,877,1629218551.7038572
27,529,876,1629218551.719479
28,529,877,1629218551.719479
29,530,877,1629218551.7350986
30,529,878,1629218551.7507198
31,530,875,1629218551.7507198
32,518,877,1629218551.7663405
33,549,877,1629218551.7663405
34,530,877,1629218551.788467
35,530,877,1629218551.788467
36,531,878,1629218551.8051887
37,530,877,1629218551.810259
38,531,882,1629218551.8259602
39,526,878,1629218551.8259602
40,531,876,1629218551.8415053
41,530,901,1629218551.8415053
42,531,877,1629218551.8573864
43,529,877,1629218551.8573864
44,530,877,1629218551.8730195
45,531,879,1629218551.8887298
46,531,877,1629218551.8887298
47,531,877,1629218551.9045548
48,531,877,1629218551.9201605
49,538,877,1629218551.9201605
50,531,878,1629218551.9356768
51,531,877,1629218551.9356768
52,531,877,1629218551.9512198
53,532,877,1629218551.9512198
54,532,877,1629218551.9668717
55,532,878,1629218551.9824934
56,532,878,1629218551.9890296
57,532,878,1629218551.9890296
58,539,878,1629218552.0046847
59,532,878,1629218552.0203075
60,533,877,1629218552.0203075
61,533,878,1629218552.035899
62,531,877,1629218552.0515187
63,534,878,1629218552.0515187
64,533,878,1629218552.067399
65,524,880,1629218552.067399
66,534,884,1629218552.0831683
67,534,879,1629218552.0894313
68,536,878,1629218552.1052802
69,534,878,1629218552.110795
70,532,878,1629218552.110795
71,527,878,1629218552.126421
72,530,884,1629218552.1422644
73,531,884,1629218552.1422644
74,535,878,1629218552.1578383
75,534,878,1629218552.1736941
76,535,878,1629218552.1736941
77,534,878,1629218552.1892776
78,514,879,1629218552.1892776
79,530,877,1629218552.2048547
80,535,879,1629218552.2048547
81,536,874,1629218552.2204208
82,537,880,1629218552.2358391
83,538,878,1629218552.2358391
84,534,878,1629218552.2514646
85,524,878,1629218552.2514646
86,534,878,1629218552.2673805
87,533,878,1629218552.2829766
88,534,878,1629218552.2897184
89,533,878,1629218552.3053725
90,536,874,1629218552.3053725
91,533,877,1629218552.3212976
92,534,878,1629218552.3212976
93,533,878,1629218552.3395128
94,514,877,1629218552.3395128
95,534,878,1629218552.3553753
96,534,877,1629218552.3707914
97,531,878,1629218552.3707914
98,530,877,1629218552.3866296
99,533,875,1629218552.3899515
100,534,878,1629218552.4059322
101,533,872,1629218552.4059322
102,533,878,1629218552.4215057
103,534,877,1629218552.4215057
104,533,875,1629218552.4370675
105,532,861,1629218552.4524887
106,536,878,1629218552.4524887
107,537,878,1629218552.4681158
108,536,878,1629218552.4681158
109,536,877,1629218552.484007
110,535,878,1629218552.4900205
111,536,878,1629218552.5060592
112,536,878,1629218552.5060592
113,523,878,1629218552.5216763
114,532,878,1629218552.5371828
115,535,878,1629218552.5371828
116,536,878,1629218552.5525095
117,544,878,1629218552.5525095
118,536,878,1629218552.568165
119,537,880,1629218552.5838518
120,534,878,1629218552.5902119
121,541,878,1629218552.5902119
122,547,878,1629218552.6061459
123,536,879,1629218552.6061459
124,545,878,1629218552.621698
125,544,877,1629218552.637079
126,536,878,1629218552.637079
127,527,876,1629218552.6527014
128,537,877,1629218552.6683588
129,538,882,1629218552.6683588
130,537,876,1629218552.684286
131,538,879,1629218552.6903338
132,537,878,1629218552.7063372
133,538,878,1629218552.7063372
